179.art,24.4
186.crafty,3.1
183.equake,9.9
403.gcc,4.4
164.gzip,5.2
181.mcf,27.7
197.parser,4.1
175.vpr,5.9
401.bzip2,4.3
464.h264ref,3.3
456.hmmer,3.6
470.lbm,17.5
429.mcf,21.6
444.namd,3.3
453.povray,3.2
458.sjeng,3.3
450.soplex,11.7
482.sphinx3,9.1
179.art,25.70543331
403.gcc,7.105432447
bodytrack,4.80114988
dwt53,3.252077627
ferret,5.890066531
fft-2d,3.121210711
fluidanimate,4.033510191
sar-backprojection,4.936451931
sar-pfa-interp1,3
streamcluster,5.914397259
freqmine,16
histogram,12
